Jogador,Equipa_CSV,Jogador_Sofascore,Equipa_Sofascore,Foto_Jogador_URL,Escudo_Clube_URL,Liga,Pais_Liga,Logo_Liga_URL,Match_Score,Qualidade_Match
A.  Quiñonez Cortez,Aucas,Stiven Quiñónez Cortes,No team,https://api.sofascore.com/api/v1/player/830154/image,https://api.sofascore.com/api/v1/team/241802/image,,,,0.31,BAIXA_REVISAR
A. Aedo,Boyacá Chicó,Andres Aedo,Boyacá Chicó FC,https://api.sofascore.com/api/v1/player/1427849/image,https://api.sofascore.com/api/v1/team/6107/image,"Primera A, Apertura",Colombia,https://api.sofascore.com/api/v1/unique-tournament/11539/image,0.85,ALTA
A. Aguirre,Agropecuario,Alan Aguirre,Agropecuario Argentino,https://api.sofascore.com/api/v1/player/257455/image,https://api.sofascore.com/api/v1/team/265787/image,Primera Nacional,Argentina,https://api.sofascore.com/api/v1/unique-tournament/703/image,0.85,ALTA
A. Aguirre,Deportes Limache,Augusto Aguirre,Deportes Limache,https://api.sofascore.com/api/v1/player/875564/image,https://api.sofascore.com/api/v1/team/331131/image,Liga de Primera,Chile,https://api.sofascore.com/api/v1/unique-tournament/11653/image,0.94,ALTA
A. Alaniz,Banfield,Martín Alaníz,ADC Juan Pablo II,https://api.sofascore.com/api/v1/player/339123/image,https://api.sofascore.com/api/v1/team/511206/image,Liga 1,Peru,https://api.sofascore.com/api/v1/unique-tournament/406/image,0.34,BAIXA_REVISAR
A. Alarcón,Dynamo Makhachkala,Andrés Alarcón,Dinamo Makhachkala,https://api.sofascore.com/api/v1/player/1179168/image,https://api.sofascore.com/api/v1/team/362016/image,Russian Premier League,Russia,https://api.sofascore.com/api/v1/unique-tournament/203/image,0.54,MEDIA
A. Albarracín,Boston River,Agustín Albarracín,Cagliari,https://api.sofascore.com/api/v1/player/1464187/image,https://api.sofascore.com/api/v1/team/2719/image,Serie A,Italy,https://api.sofascore.com/api/v1/unique-tournament/23/image,0.34,BAIXA_REVISAR
A. Alonso,Deportivo Riestra,Antony Alonso,Deportivo Riestra,https://api.sofascore.com/api/v1/player/1094187/image,https://api.sofascore.com/api/v1/team/189723/image,Liga Profesional de Fútbol,Argentina,https://api.sofascore.com/api/v1/unique-tournament/155/image,0.94,ALTA
A. Alvarado,LDU Quito,Alexander Alvarado,LDU,https://api.sofascore.com/api/v1/player/826826/image,https://api.sofascore.com/api/v1/team/5257/image,LigaPro Serie A,Ecuador,https://api.sofascore.com/api/v1/unique-tournament/240/image,0.85,ALTA
A. Álvarez,Delfin,Anthony Alvarez,Delfín,https://api.sofascore.com/api/v1/player/1473021/image,https://api.sofascore.com/api/v1/team/213638/image,LigaPro Serie A,Ecuador,https://api.sofascore.com/api/v1/unique-tournament/240/image,0.94,ALTA
A. Álvarez,Unión La Calera,Marcos Alvarez,Unión La Calera,https://api.sofascore.com/api/v1/player/2456452/image,https://api.sofascore.com/api/v1/team/48242/image,Liga de Primera,Chile,https://api.sofascore.com/api/v1/unique-tournament/11653/image,0.94,ALTA
A. Amado,Boston River,Agustín Amado,Boston River,https://api.sofascore.com/api/v1/player/1127372/image,https://api.sofascore.com/api/v1/team/174970/image,Liga AUF Uruguaya,Uruguay,https://api.sofascore.com/api/v1/unique-tournament/278/image,0.94,ALTA
A. Amaya,Fortaleza,Andrés Amaya,Fortaleza FC,https://api.sofascore.com/api/v1/player/876723/image,https://api.sofascore.com/api/v1/team/89368/image,"Primera A, Apertura",Colombia,https://api.sofascore.com/api/v1/unique-tournament/11539/image,0.85,ALTA
A. Anello,Boston River,Agustin Anello,Philadelphia Union,https://api.sofascore.com/api/v1/player/1101444/image,https://api.sofascore.com/api/v1/team/39833/image,MLS,USA,https://api.sofascore.com/api/v1/unique-tournament/242/image,0.34,BAIXA_REVISAR
A. Angulo,Tolima,Anderson Angulo,Deportes Tolima,https://api.sofascore.com/api/v1/player/925127/image,https://api.sofascore.com/api/v1/team/6111/image,"Primera A, Apertura",Colombia,https://api.sofascore.com/api/v1/unique-tournament/11539/image,0.85,ALTA
Á. Angulo,Pumas UNAM,Álvaro Angulo,Pumas UNAM,https://api.sofascore.com/api/v1/player/824511/image,https://api.sofascore.com/api/v1/team/1933/image,"Liga MX, Clausura",Mexico,https://api.sofascore.com/api/v1/unique-tournament/11620/image,0.94,ALTA
A. Arce,Independiente Rivadavia,Alex Arce,Independiente Rivadavia,https://api.sofascore.com/api/v1/player/1167312/image,https://api.sofascore.com/api/v1/team/36842/image,Liga Profesional de Fútbol,Argentina,https://api.sofascore.com/api/v1/unique-tournament/155/image,0.94,ALTA
A. Arroyo,Fortaleza,Andrés Arroyo,Fortaleza FC,https://api.sofascore.com/api/v1/player/978706/image,https://api.sofascore.com/api/v1/team/89368/image,"Primera A, Apertura",Colombia,https://api.sofascore.com/api/v1/unique-tournament/11539/image,0.85,ALTA
A. Assis,Cerro Largo,Sebastián Assis,Cerro Largo,https://api.sofascore.com/api/v1/player/976167/image,https://api.sofascore.com/api/v1/team/25009/image,Liga AUF Uruguaya,Uruguay,https://api.sofascore.com/api/v1/unique-tournament/278/image,0.94,ALTA
A. Astudillo,Cobresal,Aaron Astudillo,Cobresal,https://api.sofascore.com/api/v1/player/1016643/image,https://api.sofascore.com/api/v1/team/3167/image,Liga de Primera,Chile,https://api.sofascore.com/api/v1/unique-tournament/11653/image,0.94,ALTA
A. Auzmendi,Gimnasia La Plata,Agustín Auzmendi,Gimnasia y Esgrima,https://api.sofascore.com/api/v1/player/1173824/image,https://api.sofascore.com/api/v1/team/3205/image,Liga Profesional de Fútbol,Argentina,https://api.sofascore.com/api/v1/unique-tournament/155/image,0.49,BAIXA_REVISAR
A. Azócar,Coquimbo Unido,Alejandro Azócar,Coquimbo Unido,https://api.sofascore.com/api/v1/player/1108027/image,https://api.sofascore.com/api/v1/team/3165/image,Liga de Primera,Chile,https://api.sofascore.com/api/v1/unique-tournament/11653/image,0.94,ALTA
A. Balboa,Racing Club,Adrián Balboa,Pari Nizhny Novgorod,https://api.sofascore.com/api/v1/player/368422/image,https://api.sofascore.com/api/v1/team/201654/image,Russian Premier League,Russia,https://api.sofascore.com/api/v1/unique-tournament/203/image,0.34,BAIXA_REVISAR
A. Banguero,Boyacá Chicó,Arlen Banguero,Boyacá Chicó FC,https://api.sofascore.com/api/v1/player/2035889/image,https://api.sofascore.com/api/v1/team/6107/image,"Primera A, Apertura",Colombia,https://api.sofascore.com/api/v1/unique-tournament/11539/image,0.85,ALTA
A. Barco,Rijeka,Alfonso Barco,HNK Rijeka,https://api.sofascore.com/api/v1/player/975958/image,https://api.sofascore.com/api/v1/team/2039/image,HNL,Croatia,https://api.sofascore.com/api/v1/unique-tournament/170/image,0.85,ALTA
A. Bareiro,Fortaleza,Adam Bareiro,Boca Juniors,https://api.sofascore.com/api/v1/player/871580/image,https://api.sofascore.com/api/v1/team/3202/image,Liga Profesional de Fútbol,Argentina,https://api.sofascore.com/api/v1/unique-tournament/155/image,0.34,BAIXA_REVISAR
Á. Barreal,Santos,Álvaro Barreal,Santos,https://api.sofascore.com/api/v1/player/949687/image,https://api.sofascore.com/api/v1/team/1968/image,Brasileirão Betano,Brazil,https://api.sofascore.com/api/v1/unique-tournament/325/image,0.94,ALTA
A. Barrionuevo,Tigre,Alan Barrionuevo,Tigre,https://api.sofascore.com/api/v1/player/1110289/image,https://api.sofascore.com/api/v1/team/7628/image,Liga Profesional de Fútbol,Argentina,https://api.sofascore.com/api/v1/unique-tournament/155/image,0.94,ALTA
A. Bedoya,Delfin,Anthony Bedoya Caicedo,Delfín,https://api.sofascore.com/api/v1/player/590164/image,https://api.sofascore.com/api/v1/team/213638/image,LigaPro Serie A,Ecuador,https://api.sofascore.com/api/v1/unique-tournament/240/image,0.92,ALTA
A. Benítez,Internacional,Bruna Benites,Internacional,https://api.sofascore.com/api/v1/player/244553/image,https://api.sofascore.com/api/v1/team/311632/image,"Brasileirão Série A1, Feminino ",Brazil,https://api.sofascore.com/api/v1/unique-tournament/10257/image,0.6,MEDIA
A. Bouzat,Vélez Sarsfield,Agustín Bouzat,Houston Dynamo,https://api.sofascore.com/api/v1/player/830699/image,https://api.sofascore.com/api/v1/team/2508/image,MLS,USA,https://api.sofascore.com/api/v1/unique-tournament/242/image,0.34,BAIXA_REVISAR
A. Cabeza,Municipal,Alejandro Cabeza,CSD Municipal,https://api.sofascore.com/api/v1/player/868742/image,https://api.sofascore.com/api/v1/team/7025/image,"Liga Nacional de Fútbol de Guatemala, Clausura",Guatemala,https://api.sofascore.com/api/v1/unique-tournament/11615/image,0.85,ALTA
A. Camargo,Coquimbo Unido,Alejandro Camargo,Coquimbo Unido,https://api.sofascore.com/api/v1/player/805408/image,https://api.sofascore.com/api/v1/team/3165/image,Liga de Primera,Chile,https://api.sofascore.com/api/v1/unique-tournament/11653/image,0.94,ALTA
A. Cambón,Defensor Sporting,Augusto Cambón,Cerro,https://api.sofascore.com/api/v1/player/1469913/image,https://api.sofascore.com/api/v1/team/22011/image,Liga AUF Uruguaya,Uruguay,https://api.sofascore.com/api/v1/unique-tournament/278/image,0.34,BAIXA_REVISAR
A. Canales,Universidad Católica,Alfred Canales,Universidad Católica,https://api.sofascore.com/api/v1/player/1016766/image,https://api.sofascore.com/api/v1/team/3151/image,Liga de Primera,Chile,https://api.sofascore.com/api/v1/unique-tournament/11653/image,0.94,ALTA
A. Canelo,Lanús,Alexis Canelo,Club Puebla,https://api.sofascore.com/api/v1/player/789663/image,https://api.sofascore.com/api/v1/team/1941/image,"Liga MX, Clausura",Mexico,https://api.sofascore.com/api/v1/unique-tournament/11620/image,0.34,BAIXA_REVISAR
A. Canobbio,Fluminense,Agustín Canobbio,Fluminense,https://api.sofascore.com/api/v1/player/846413/image,https://api.sofascore.com/api/v1/team/1961/image,Brasileirão Betano,Brazil,https://api.sofascore.com/api/v1/unique-tournament/325/image,0.94,ALTA
A. Cardozo,Lanús,Agustín Cardozo,CA Lanús,https://api.sofascore.com/api/v1/player/851824/image,https://api.sofascore.com/api/v1/team/3218/image,Liga Profesional de Fútbol,Argentina,https://api.sofascore.com/api/v1/unique-tournament/155/image,0.85,ALTA
A. Carrillo,Corinthians,André Carrillo,Corinthians,https://api.sofascore.com/api/v1/player/115182/image,https://api.sofascore.com/api/v1/team/1957/image,Brasileirão Betano,Brazil,https://api.sofascore.com/api/v1/unique-tournament/325/image,0.94,ALTA
A. Castillo,Colorado Rapids,Jaime Castrillon,Colorado Rapids,https://api.sofascore.com/api/v1/player/829883/image,https://api.sofascore.com/api/v1/team/2510/image,MLS,USA,https://api.sofascore.com/api/v1/unique-tournament/242/image,0.6,MEDIA
A. Castillo,O'Higgins,Arnaldo Castillo,O'Higgins,https://api.sofascore.com/api/v1/player/849177/image,https://api.sofascore.com/api/v1/team/3163/image,Liga de Primera,Chile,https://api.sofascore.com/api/v1/unique-tournament/11653/image,0.94,ALTA
A. Castillo,Cobresal,Antonio Castillo,Cobresal,https://api.sofascore.com/api/v1/player/987924/image,https://api.sofascore.com/api/v1/team/3167/image,Liga de Primera,Chile,https://api.sofascore.com/api/v1/unique-tournament/11653/image,0.94,ALTA
A. Castilo,Técnico Universitario,Anthony Castilo,Técnico Universitario,https://api.sofascore.com/api/v1/player/2175883/image,https://api.sofascore.com/api/v1/team/21941/image,LigaPro Serie A,Ecuador,https://api.sofascore.com/api/v1/unique-tournament/240/image,0.94,ALTA
A. Castro,Estudiantes,Alexis Castro,Estudiantes de La Plata,https://api.sofascore.com/api/v1/player/801037/image,https://api.sofascore.com/api/v1/team/3206/image,Liga Profesional de Fútbol,Argentina,https://api.sofascore.com/api/v1/unique-tournament/155/image,0.85,ALTA
A. Castro,Tacuarembó,Ayrton Castro,Tacuarembó FC,https://api.sofascore.com/api/v1/player/1799331/image,https://api.sofascore.com/api/v1/team/3225/image,Uruguayan Segunda División,Uruguay,https://api.sofascore.com/api/v1/unique-tournament/1908/image,0.85,ALTA
Á. Castro,Millonarios,Alex Castro,Millonarios,https://api.sofascore.com/api/v1/player/818930/image,https://api.sofascore.com/api/v1/team/6117/image,"Primera A, Apertura",Colombia,https://api.sofascore.com/api/v1/unique-tournament/11539/image,0.94,ALTA
A. Cayetano,Liverpool,Agustín Cayetano,Liverpool UY,https://api.sofascore.com/api/v1/player/1123249/image,https://api.sofascore.com/api/v1/team/6879/image,Liga AUF Uruguaya,Uruguay,https://api.sofascore.com/api/v1/unique-tournament/278/image,0.85,ALTA
Á. Cayetano,Plaza Colonia,Cayetano,Atlético Levante,https://api.sofascore.com/api/v1/player/2223177/image,https://api.sofascore.com/api/v1/team/77407/image,"Tercera Federación, Group 6",Spain Amateur,https://api.sofascore.com/api/v1/unique-tournament/11351/image,0.4,BAIXA_REVISAR
A. Cela,Mushuc Runa,Adrian Cela,Mushuc Runa SC,https://api.sofascore.com/api/v1/player/975709/image,https://api.sofascore.com/api/v1/team/134976/image,LigaPro Serie A,Ecuador,https://api.sofascore.com/api/v1/unique-tournament/240/image,0.85,ALTA
A. Ceza,Palestino,Antonio Ceza,Palestino,https://api.sofascore.com/api/v1/player/1116992/image,https://api.sofascore.com/api/v1/team/3157/image,Liga de Primera,Chile,https://api.sofascore.com/api/v1/unique-tournament/11653/image,0.94,ALTA
A. Chalá,Olimpia,Anibal Chalá,Olimpia,https://api.sofascore.com/api/v1/player/827140/image,https://api.sofascore.com/api/v1/team/5997/image,"Primera División, Apertura",Paraguay,https://api.sofascore.com/api/v1/unique-tournament/11540/image,0.94,ALTA
A. Chére Ayoví,Libertad,,,,,,,,0.0,NAO_ENCONTRADO
A. Chicaiza,Olmedo,Luis Chicaiza,CD Olmedo,https://api.sofascore.com/api/v1/player/909661/image,https://api.sofascore.com/api/v1/team/5259/image,Ascenso Nacional,Ecuador Amateur,https://api.sofascore.com/api/v1/unique-tournament/29508/image,0.85,ALTA
A. Colazo,Unión Santa Fe,Agustín Colazo,Club Atlético Unión de Santa Fe,https://api.sofascore.com/api/v1/player/1093119/image,https://api.sofascore.com/api/v1/team/3204/image,Liga Profesional de Fútbol,Argentina,https://api.sofascore.com/api/v1/unique-tournament/155/image,0.94,ALTA
A. Colombino,Progreso,Adrián Colombino,Progreso,https://api.sofascore.com/api/v1/player/340071/image,https://api.sofascore.com/api/v1/team/3238/image,Liga AUF Uruguaya,Uruguay,https://api.sofascore.com/api/v1/unique-tournament/278/image,0.94,ALTA
A. Colorado,Deportivo Cali,Andres Colorado,Deportivo Cali,https://api.sofascore.com/api/v1/player/904350/image,https://api.sofascore.com/api/v1/team/6112/image,"Primera A, Apertura",Colombia,https://api.sofascore.com/api/v1/unique-tournament/11539/image,0.94,ALTA
A. Correa,Deportivo Cali,Andres Correa,Deportivo Cali,https://api.sofascore.com/api/v1/player/329607/image,https://api.sofascore.com/api/v1/team/6112/image,"Primera A, Apertura",Colombia,https://api.sofascore.com/api/v1/unique-tournament/11539/image,0.94,ALTA
A. Cortez,Emelec,Juan Cortez,Sevilla Atlético,https://api.sofascore.com/api/v1/player/1146597/image,https://api.sofascore.com/api/v1/team/7762/image,Primera Federación,Spain,https://api.sofascore.com/api/v1/unique-tournament/17073/image,0.34,BAIXA_REVISAR
A. Costa,Boca Juniors,Ayrton Costa,Boca Juniors,https://api.sofascore.com/api/v1/player/976485/image,https://api.sofascore.com/api/v1/team/3202/image,Liga Profesional de Fútbol,Argentina,https://api.sofascore.com/api/v1/unique-tournament/155/image,0.94,ALTA
A. Cougo,Progreso,Ayrton Cougo,Progreso,https://api.sofascore.com/api/v1/player/873716/image,https://api.sofascore.com/api/v1/team/3238/image,Liga AUF Uruguaya,Uruguay,https://api.sofascore.com/api/v1/unique-tournament/278/image,0.94,ALTA
A. Cruz,Peñarol,Angel Cesar Pérez Cruz,Peñarol Pinareño,https://api.sofascore.com/api/v1/player/2185122/image,https://api.sofascore.com/api/v1/team/1135730/image,Copa Corusso,Cuba,https://api.sofascore.com/api/v1/unique-tournament/25630/image,0.82,ALTA
A. Cuello,San Lorenzo,Alexis Cuello,San Lorenzo,https://api.sofascore.com/api/v1/player/965768/image,https://api.sofascore.com/api/v1/team/3201/image,Liga Profesional de Fútbol,Argentina,https://api.sofascore.com/api/v1/unique-tournament/155/image,0.94,ALTA
A. Dattola,Almirante Brown,Agustín Dáttola,Almirante Brown,https://api.sofascore.com/api/v1/player/1110288/image,https://api.sofascore.com/api/v1/team/43740/image,Primera Nacional,Argentina,https://api.sofascore.com/api/v1/unique-tournament/703/image,0.94,ALTA
A. Del Valle,Alianza,Ayron Del Valle,Alianza Valledupar FC,https://api.sofascore.com/api/v1/player/47735/image,https://api.sofascore.com/api/v1/team/504899/image,"Primera A, Apertura",Colombia,https://api.sofascore.com/api/v1/unique-tournament/11539/image,0.87,ALTA
Á. Di María,Rosario Central,Ángel Di María,Rosario Central,https://api.sofascore.com/api/v1/player/30027/image,https://api.sofascore.com/api/v1/team/3217/image,Liga Profesional de Fútbol,Argentina,https://api.sofascore.com/api/v1/unique-tournament/155/image,0.96,ALTA
A. Di Pippa,Cerro Largo,Alan Di Pippa,Correcaminos UAT,https://api.sofascore.com/api/v1/player/1184978/image,https://api.sofascore.com/api/v1/team/36526/image,"Liga de Expansión MX, Clausura",Mexico,https://api.sofascore.com/api/v1/unique-tournament/11612/image,0.36,BAIXA_REVISAR
A. Díaz,Deportivo Riestra,Alexander Díaz,Deportivo Riestra,https://api.sofascore.com/api/v1/player/951244/image,https://api.sofascore.com/api/v1/team/189723/image,Liga Profesional de Fútbol,Argentina,https://api.sofascore.com/api/v1/unique-tournament/155/image,0.94,ALTA
A. Dramisino,Atlanta,Alejo Dramisino,Deportivo Riestra,https://api.sofascore.com/api/v1/player/1092324/image,https://api.sofascore.com/api/v1/team/189723/image,Liga Profesional de Fútbol,Argentina,https://api.sofascore.com/api/v1/unique-tournament/155/image,0.34,BAIXA_REVISAR
A. Draper,Universidad Católica,Greg Draper,Newtown AFC,https://api.sofascore.com/api/v1/player/31858/image,https://api.sofascore.com/api/v1/team/4918/image,Cymru North,Wales,https://api.sofascore.com/api/v1/unique-tournament/13820/image,0.34,BAIXA_REVISAR
A. Duarte,Santos,Duarte Santos,SC Linda-a-Velha,https://api.sofascore.com/api/v1/player/2368177/image,https://api.sofascore.com/api/v1/team/370449/image,A.F. Lisboa 2ª Divisão,Portugal Amateur,https://api.sofascore.com/api/v1/unique-tournament/20050/image,0.34,BAIXA_REVISAR
A. Estacio,Deportivo Pereira,Adrián Estacio,The Strongest,https://api.sofascore.com/api/v1/player/931632/image,https://api.sofascore.com/api/v1/team/32529/image,División Profesional,Bolivia,https://api.sofascore.com/api/v1/unique-tournament/16736/image,0.34,BAIXA_REVISAR
A. Estupiñán,Deportivo Pasto,Andrey Estupiñán,Deportivo Pasto,https://api.sofascore.com/api/v1/player/944462/image,https://api.sofascore.com/api/v1/team/6113/image,"Primera A, Apertura",Colombia,https://api.sofascore.com/api/v1/unique-tournament/11539/image,0.94,ALTA
A. Farías,Universidad Católica,Agustín Farías,Universidad Católica,https://api.sofascore.com/api/v1/player/581774/image,https://api.sofascore.com/api/v1/team/3151/image,Liga de Primera,Chile,https://api.sofascore.com/api/v1/unique-tournament/11653/image,0.94,ALTA
A. Fernández,Racing Club,Adrián Fernández,Racing Club,https://api.sofascore.com/api/v1/player/1121463/image,https://api.sofascore.com/api/v1/team/3215/image,Liga Profesional de Fútbol,Argentina,https://api.sofascore.com/api/v1/unique-tournament/155/image,0.94,ALTA
A. Forneris,Racing Club,Alan Forneris,Racing Club,https://api.sofascore.com/api/v1/player/1868531/image,https://api.sofascore.com/api/v1/team/3215/image,Liga Profesional de Fútbol,Argentina,https://api.sofascore.com/api/v1/unique-tournament/155/image,0.94,ALTA
A. Franco,São Paulo,Alan Franco,São Paulo,https://api.sofascore.com/api/v1/player/875402/image,https://api.sofascore.com/api/v1/team/1981/image,Brasileirão Betano,Brazil,https://api.sofascore.com/api/v1/unique-tournament/325/image,0.94,ALTA
A. Frías,Santos,Adonis Frías,Santos,https://api.sofascore.com/api/v1/player/940699/image,https://api.sofascore.com/api/v1/team/1968/image,Brasileirão Betano,Brazil,https://api.sofascore.com/api/v1/unique-tournament/325/image,0.94,ALTA
A. Frugone,Cerro,Axel Frugone,Defensor Sporting,https://api.sofascore.com/api/v1/player/1808269/image,https://api.sofascore.com/api/v1/team/3229/image,Liga AUF Uruguaya,Uruguay,https://api.sofascore.com/api/v1/unique-tournament/278/image,0.34,BAIXA_REVISAR
A. Galeano,Mirassol,Antonio Galeano,Mirassol,https://api.sofascore.com/api/v1/player/883207/image,https://api.sofascore.com/api/v1/team/21982/image,Brasileirão Betano,Brazil,https://api.sofascore.com/api/v1/unique-tournament/325/image,0.94,ALTA
A. Garcia,Wanderers,Alan Garcia,Montevideo Wanderers,https://api.sofascore.com/api/v1/player/936685/image,https://api.sofascore.com/api/v1/team/3240/image,Liga AUF Uruguaya,Uruguay,https://api.sofascore.com/api/v1/unique-tournament/278/image,0.85,ALTA
A. García,Libertad,Ariel García,Libertad,https://api.sofascore.com/api/v1/player/1185732/image,https://api.sofascore.com/api/v1/team/394127/image,LigaPro Serie A,Ecuador,https://api.sofascore.com/api/v1/unique-tournament/240/image,0.94,ALTA
A. García,Athletico Paranaense,Aleix García,Bayer 04 Leverkusen,https://api.sofascore.com/api/v1/player/796047/image,https://api.sofascore.com/api/v1/team/2681/image,Bundesliga,Germany,https://api.sofascore.com/api/v1/unique-tournament/35/image,0.34,BAIXA_REVISAR
A. García,Progreso,Alejandro Garcia,Progreso,https://api.sofascore.com/api/v1/player/1885493/image,https://api.sofascore.com/api/v1/team/3238/image,Liga AUF Uruguaya,Uruguay,https://api.sofascore.com/api/v1/unique-tournament/278/image,0.94,ALTA
A. García Basso,Racing Club,Agustín García Basso,Racing Club,https://api.sofascore.com/api/v1/player/896806/image,https://api.sofascore.com/api/v1/team/3215/image,Liga Profesional de Fútbol,Argentina,https://api.sofascore.com/api/v1/unique-tournament/155/image,0.96,ALTA
A. Giay,Palmeiras,Agustín Giay,Palmeiras,https://api.sofascore.com/api/v1/player/1106603/image,https://api.sofascore.com/api/v1/team/1963/image,Brasileirão Betano,Brazil,https://api.sofascore.com/api/v1/unique-tournament/325/image,0.94,ALTA
A. Gómez,Vasco da Gama,Andrés Gómez,Vasco da Gama,https://api.sofascore.com/api/v1/player/1160386/image,https://api.sofascore.com/api/v1/team/1974/image,Brasileirão Betano,Brazil,https://api.sofascore.com/api/v1/unique-tournament/325/image,0.94,ALTA
A. Gómez,Deportivo Garcilaso,Agustin Gomez,Deportivo Garcilaso,https://api.sofascore.com/api/v1/player/873645/image,https://api.sofascore.com/api/v1/team/458584/image,Liga 1,Peru,https://api.sofascore.com/api/v1/unique-tournament/406/image,0.94,ALTA
A. González,Boston River,Alexander González,Boston River,https://api.sofascore.com/api/v1/player/1048868/image,https://api.sofascore.com/api/v1/team/174970/image,Liga AUF Uruguaya,Uruguay,https://api.sofascore.com/api/v1/unique-tournament/278/image,0.94,ALTA
A. González,Carabobo,Alexander González,Carabobo,https://api.sofascore.com/api/v1/player/108152/image,https://api.sofascore.com/api/v1/team/6229/image,Liga FUTVE,Venezuela,https://api.sofascore.com/api/v1/unique-tournament/231/image,0.94,ALTA
Á. Gracia,LDU Portoviejo,Ángel Gracia,LDU Portoviejo,https://api.sofascore.com/api/v1/player/805126/image,https://api.sofascore.com/api/v1/team/33560/image,LigaPro Serie B,Ecuador,https://api.sofascore.com/api/v1/unique-tournament/10240/image,0.94,ALTA
A. Guerrero,Manta,Paolo Guerrero,Alianza Lima,https://api.sofascore.com/api/v1/player/338/image,https://api.sofascore.com/api/v1/team/2311/image,Liga 1,Peru,https://api.sofascore.com/api/v1/unique-tournament/406/image,0.34,BAIXA_REVISAR
A. Gutiérrez,Atlético Bucaramanga,Aldair Gutiérrez,Atlético Bucaramanga,https://api.sofascore.com/api/v1/player/857498/image,https://api.sofascore.com/api/v1/team/6103/image,"Primera A, Apertura",Colombia,https://api.sofascore.com/api/v1/unique-tournament/11539/image,0.94,ALTA
A. Hausch,Defensa y Justicia,Agustín Hausch,Defensa y Justicia,https://api.sofascore.com/api/v1/player/1017278/image,https://api.sofascore.com/api/v1/team/36839/image,Liga Profesional de Fútbol,Argentina,https://api.sofascore.com/api/v1/unique-tournament/155/image,0.94,ALTA
Á. Henríquez,La Serena,Ángelo Henríquez,Deportes La Serena,https://api.sofascore.com/api/v1/player/165511/image,https://api.sofascore.com/api/v1/team/5031/image,Liga de Primera,Chile,https://api.sofascore.com/api/v1/unique-tournament/11653/image,0.85,ALTA
A. Hernández,Peñarol,Abel Hernández,Peñarol,https://api.sofascore.com/api/v1/player/48547/image,https://api.sofascore.com/api/v1/team/3227/image,Liga AUF Uruguaya,Uruguay,https://api.sofascore.com/api/v1/unique-tournament/278/image,0.94,ALTA
A. Hurtado,Deportivo Cali,Avilés Hurtado,Deportivo Cali,https://api.sofascore.com/api/v1/player/221552/image,https://api.sofascore.com/api/v1/team/6112/image,"Primera A, Apertura",Colombia,https://api.sofascore.com/api/v1/unique-tournament/11539/image,0.94,ALTA
A. Ibacache,Belgrano,Alex Ibacache,Club Deportes Antofagasta,https://api.sofascore.com/api/v1/player/925222/image,https://api.sofascore.com/api/v1/team/5601/image,Liga de Ascenso,Chile,https://api.sofascore.com/api/v1/unique-tournament/1240/image,0.34,BAIXA_REVISAR
A. Ibargüen,Once Caldas,Yojan Andres Torres Ibarguen,Once Caldas U20,https://api.sofascore.com/api/v1/player/2448005/image,https://api.sofascore.com/api/v1/team/1100784/image,,,,0.82,ALTA
A. Ladstatter,San Lorenzo,Agustin Ladstatter,San Lorenzo,https://api.sofascore.com/api/v1/player/1990118/image,https://api.sofascore.com/api/v1/team/3201/image,Liga Profesional de Fútbol,Argentina,https://api.sofascore.com/api/v1/unique-tournament/155/image,0.94,ALTA
A. Lagos,Platense,Agustín Lagos,Platense,https://api.sofascore.com/api/v1/player/993929/image,https://api.sofascore.com/api/v1/team/36837/image,Liga Profesional de Fútbol,Argentina,https://api.sofascore.com/api/v1/unique-tournament/155/image,0.94,ALTA
Á. Ledesma,Alianza Coronel Moldes,Ángel Ledesma,Alianza Universidad,https://api.sofascore.com/api/v1/player/929699/image,https://api.sofascore.com/api/v1/team/306660/image,Liga 1,Peru,https://api.sofascore.com/api/v1/unique-tournament/406/image,0.49,BAIXA_REVISAR
A. Leguizamón,Belgrano,Aníbal Leguizamón,Emelec,https://api.sofascore.com/api/v1/player/898990/image,https://api.sofascore.com/api/v1/team/5255/image,LigaPro Serie A,Ecuador,https://api.sofascore.com/api/v1/unique-tournament/240/image,0.34,BAIXA_REVISAR
A. Lescano,Argentinos Juniors,Alan Lescano,Argentinos Juniors,https://api.sofascore.com/api/v1/player/1186068/image,https://api.sofascore.com/api/v1/team/3216/image,Liga Profesional de Fútbol,Argentina,https://api.sofascore.com/api/v1/unique-tournament/155/image,0.94,ALTA
A. Llinás,Millonarios,Andrés Llinás,Millonarios,https://api.sofascore.com/api/v1/player/982821/image,https://api.sofascore.com/api/v1/team/6117/image,"Primera A, Apertura",Colombia,https://api.sofascore.com/api/v1/unique-tournament/11539/image,0.94,ALTA
A. Londoño,Universidad Católica,Azarias Londoño,Universidad Católica del Ecuador,https://api.sofascore.com/api/v1/player/1217929/image,https://api.sofascore.com/api/v1/team/21942/image,LigaPro Serie A,Ecuador,https://api.sofascore.com/api/v1/unique-tournament/240/image,0.85,ALTA
A. López,Plaza Colonia,Michael López,Plaza Colonia,https://api.sofascore.com/api/v1/player/860061/image,https://api.sofascore.com/api/v1/team/3235/image,Copa Uruguay,Uruguay,https://api.sofascore.com/api/v1/unique-tournament/18877/image,0.94,ALTA
