Jogador,Equipa_CSV,Jogador_Sofascore,Equipa_Sofascore,Foto_Jogador_URL,Escudo_Clube_URL,Liga,Pais_Liga,Logo_Liga_URL,Match_Score,Qualidade_Match
Rafael,Al Sharjah,Rafael,São Paulo,https://api.sofascore.com/api/v1/player/33132/image,https://api.sofascore.com/api/v1/team/1981/image,Brasileirão Betano,Brazil,https://api.sofascore.com/api/v1/unique-tournament/325/image,0.4,BAIXA_REVISAR
Rafael Assis,Trofense,Rafael Assis,CD Trofense,https://api.sofascore.com/api/v1/player/585072/image,https://api.sofascore.com/api/v1/team/6154/image,Liga 3,Portugal,https://api.sofascore.com/api/v1/unique-tournament/17101/image,0.91,ALTA
Rafael Bilu,Juventude,Rafael Bilú,Avaí,https://api.sofascore.com/api/v1/player/959005/image,https://api.sofascore.com/api/v1/team/7315/image,Brasileirão Série B,Brazil,https://api.sofascore.com/api/v1/unique-tournament/390/image,0.4,BAIXA_REVISAR
Rafael Borré,Internacional,Rafael Borré,Internacional,https://api.sofascore.com/api/v1/player/560116/image,https://api.sofascore.com/api/v1/team/1966/image,Brasileirão Betano,Brazil,https://api.sofascore.com/api/v1/unique-tournament/325/image,1.0,ALTA
Rafael Carioca,Tigres UANL,Rafael Carioca,No team,https://api.sofascore.com/api/v1/player/1133645/image,https://api.sofascore.com/api/v1/team/241802/image,,,,0.4,BAIXA_REVISAR
Rafael Carvalheira,Chapecoense,Rafael Carvalheira,Chapecoense,https://api.sofascore.com/api/v1/player/1120738/image,https://api.sofascore.com/api/v1/team/21845/image,Brasileirão Betano,Brazil,https://api.sofascore.com/api/v1/unique-tournament/325/image,1.0,ALTA
Rafael Devisate,Brühl,Rafael Devisate,Union Saint-Gilloise U23,https://api.sofascore.com/api/v1/player/1506624/image,https://api.sofascore.com/api/v1/team/527029/image,Nationale 1 ACFF,Belgium Amateur,https://api.sofascore.com/api/v1/unique-tournament/25282/image,0.4,BAIXA_REVISAR
Rafael Donato,Guarani,Rafael Donato,Guarani,https://api.sofascore.com/api/v1/player/243379/image,https://api.sofascore.com/api/v1/team/1972/image,Brasileirão Série C,Brazil,https://api.sofascore.com/api/v1/unique-tournament/1281/image,1.0,ALTA
Rafael Elias,Kyoto Sanga,Rafael Elias,Kyoto Sanga FC,https://api.sofascore.com/api/v1/player/928527/image,https://api.sofascore.com/api/v1/team/3149/image,J1 League,Japan,https://api.sofascore.com/api/v1/unique-tournament/196/image,0.91,ALTA
Rafael Freitas,Tirana,Rafael Freitas,KF Tirana,https://api.sofascore.com/api/v1/player/1046837/image,https://api.sofascore.com/api/v1/team/5195/image,Abissnet Superiore,Albania,https://api.sofascore.com/api/v1/unique-tournament/720/image,0.91,ALTA
Rafael Furlan,Floresta EC,Rafael Furlan,Amazonas FC,https://api.sofascore.com/api/v1/player/794910/image,https://api.sofascore.com/api/v1/team/336664/image,Brasileirão Série C,Brazil,https://api.sofascore.com/api/v1/unique-tournament/1281/image,0.4,BAIXA_REVISAR
Rafael Gava,Botafogo SP,Rafael Gava,Botafogo-SP,https://api.sofascore.com/api/v1/player/870920/image,https://api.sofascore.com/api/v1/team/1979/image,Brasileirão Série B,Brazil,https://api.sofascore.com/api/v1/unique-tournament/390/image,0.4,BAIXA_REVISAR
Rafael Martins,Leixões,Rafael Martins,No team,https://api.sofascore.com/api/v1/player/123231/image,https://api.sofascore.com/api/v1/team/241802/image,,,,0.4,BAIXA_REVISAR
Rafael Milhorim,Brusque,Rafael Henrique Milhorim,Brusque,https://api.sofascore.com/api/v1/player/1463340/image,https://api.sofascore.com/api/v1/team/21884/image,Brasileirão Série C,Brazil,https://api.sofascore.com/api/v1/unique-tournament/1281/image,0.96,ALTA
Rafael Monteiro,Londrina,Rafael Monteiro,Londrina,https://api.sofascore.com/api/v1/player/1485293/image,https://api.sofascore.com/api/v1/team/2022/image,Brasileirão Série B,Brazil,https://api.sofascore.com/api/v1/unique-tournament/390/image,1.0,ALTA
Rafael Oller,Inter de Limeira,Rafael Oller,Inter de Limeira,https://api.sofascore.com/api/v1/player/840279/image,https://api.sofascore.com/api/v1/team/135526/image,Brasileirão Série C,Brazil,https://api.sofascore.com/api/v1/unique-tournament/1281/image,1.0,ALTA
Rafael Pontelo,Farense,Rafael Pontelo,SC Farense,https://api.sofascore.com/api/v1/player/1459633/image,https://api.sofascore.com/api/v1/team/2998/image,Liga Portugal 2,Portugal,https://api.sofascore.com/api/v1/unique-tournament/239/image,0.91,ALTA
Rafael Ramos,Ceará,Rafael Ramos,Ceará,https://api.sofascore.com/api/v1/player/788195/image,https://api.sofascore.com/api/v1/team/2001/image,Brasileirão Série B,Brazil,https://api.sofascore.com/api/v1/unique-tournament/390/image,1.0,ALTA
Rafael Ratão,Shanghai Shenhua,Rafael Ratão,Shanghai Shenhua,https://api.sofascore.com/api/v1/player/352838/image,https://api.sofascore.com/api/v1/team/3373/image,Chinese Super League,China,https://api.sofascore.com/api/v1/unique-tournament/649/image,1.0,ALTA
Rafael Ribeiro,SC Delhi,Rafael Ribeiro,Sporting Delhi,https://api.sofascore.com/api/v1/player/835251/image,https://api.sofascore.com/api/v1/team/331840/image,Indian Super League,India,https://api.sofascore.com/api/v1/unique-tournament/1900/image,1.0,ALTA
Rafael Santos,Leixões,Rafael Santos,Leixões SC,https://api.sofascore.com/api/v1/player/944071/image,https://api.sofascore.com/api/v1/team/3018/image,Liga Portugal 2,Portugal,https://api.sofascore.com/api/v1/unique-tournament/239/image,0.91,ALTA
Rafael Tavares,Amazonas,Rafael Tavares,Amazonas FC,https://api.sofascore.com/api/v1/player/937943/image,https://api.sofascore.com/api/v1/team/336664/image,Brasileirão Série C,Brazil,https://api.sofascore.com/api/v1/unique-tournament/1281/image,0.91,ALTA
Rafael Thyere,Chapecoense,Rafael Thyere,Chapecoense,https://api.sofascore.com/api/v1/player/354894/image,https://api.sofascore.com/api/v1/team/21845/image,Brasileirão Betano,Brazil,https://api.sofascore.com/api/v1/unique-tournament/325/image,1.0,ALTA
Rafael Tolói,São Paulo,Rafael Tolói,São Paulo,https://api.sofascore.com/api/v1/player/82943/image,https://api.sofascore.com/api/v1/team/1981/image,Brasileirão Betano,Brazil,https://api.sofascore.com/api/v1/unique-tournament/325/image,1.0,ALTA
Rafael Viegas,İmişli,Rafael Viegas,İmişli FK,https://api.sofascore.com/api/v1/player/988253/image,https://api.sofascore.com/api/v1/team/452296/image,Misli Premier League,Azerbaijan,https://api.sofascore.com/api/v1/unique-tournament/709/image,0.91,ALTA
Rafael Vitor,Amazonas,Rafael Vitor,Amazonas FC,https://api.sofascore.com/api/v1/player/870642/image,https://api.sofascore.com/api/v1/team/336664/image,Brasileirão Série C,Brazil,https://api.sofascore.com/api/v1/unique-tournament/1281/image,0.91,ALTA
